ID,%,Título,Estado,Departamento,Estrutura,Marcadores,Data Inicial,Data Final,Parecer Final
63720,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Letras - Língua Inglesa - Porto Nacional (UA)",pat_aprovado,Coordenação do Curso de Letras - Língua Inglesa - Porto Nacional (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63885,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Letras: Libras - Porto Nacional (UA)",pat_aprovado,Coordenação do Curso de Letras: Libras - Porto Nacional (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
76227,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Licenciatura em Química - Gurupi (UA)",pat_aprovado,Coordenação do Curso de Licenciatura em Química - Gurupi (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63800,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Matemática - Arraias (UA)",pat_aprovado,Coordenação do Curso de Matemática - Arraias (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63785,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Medicina - Palmas (UA)",pat_aprovado,Coordenação do Curso de Medicina - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
71995,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Mestrado em Biodiversidade, Ecologia e Conservação - Porto Nacional (UA)",pat_aprovado,"Coordenação do Curso de Mestrado em Biodiversidade, Ecologia e Conservação - Porto Nacional (UA)","1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
75582,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Mestrado em Gestão e Regulação de Recursos Hídricos (UA)",pat_aprovado,Coordenação do Curso de Mestrado em Gestão e Regulação de Recursos Hídricos - CUP - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
72025,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Mestrado em Serviço Social - Miracema (UA)",pat_aprovado,Coordenação do Curso de Mestrado em Serviço Social - Miracema (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
75587,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Mestrado Profissional em Artes (UA)",pat_aprovado,Coordenação do Curso de Mestrado Profissional em Artes - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63835,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Nutrição - Palmas (UA)",pat_aprovado,Coordenação do Curso de Nutrição - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63795,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Pedagogia - Arraias (UA)",pat_aprovado,Coordenação do Curso de Pedagogia - Arraias (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63805,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Pedagogia - Miracema (UA)",pat_aprovado,Coordenação do Curso de Pedagogia - Miracema (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63790,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Pedagogia - Palmas (UA)",pat_aprovado,Coordenação do Curso de Pedagogia - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
72060,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Pós-Graduação (Mestrado) Profissional em Rede Saúde da Família - Palmas (UA)",pat_aprovado,Coordenação do Curso de Pós-Graduação (Mestrado) Profissional em Rede Saúde da Família - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
76675,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Pós-Graduação Acadêmica em Filosofia - PPGFIL (Mestrado) - Palmas (UA)",pat_aprovado,Coordenação do Curso de Pós-Graduação Acadêmica em Filosofia - PPGFIL (Mestrado) - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
72000,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Pós-graduação em Administração Pública - Palmas (UA)",pat_aprovado,Coordenação do Curso de Pós-graduação em Administração Pública - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
71910,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Pós-Graduação em Agroenergia Digital - Palmas (UA)",pat_aprovado,Coordenação do Curso de Pós-Graduação em Agroenergia Digital - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
